Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY/90,CrdR/90,Fls/90,Fld/90,Off/90,Crs/90,Int/90,TklW/90
84,Dominic Calvert-Lewin,eng ENG,FW,Leeds United,28,1997,30.2,0.1,0,1.49,1.23,0.86,0.3,0.17,0.13
85,Jaydee Canvot,fr FRA,DF,Crystal Palace,19,2006,14.8,0.2,0,0.81,0.47,0,0.34,0.81,1.49
86,Rio Cardines,tt TRI,MF,Crystal Palace,19,2006,1,0,0,0,1,0,3,0,1
87,Fabio Carvalho,pt POR,MF,Brentford,22,2002,1.1,0,0,0,0,0,4.55,0,1.82
88,Casemiro,br BRA,MF,Manchester Utd,33,1992,28.6,0.38,0.03,1.61,1.26,0.17,0.66,1.05,1.57
89,Matty Cash,pl POL,DF,Aston Villa,27,1997,33.5,0.27,0,1.25,0.9,0.12,3.91,0.72,0.96
90,Timothy Castagne,be BEL,DFMF,Fulham,29,1995,20.5,0.2,0,0.88,0.54,0.05,2.34,1.37,1.17
91,Valentin Castellanos,ar ARG,FW,West Ham,26,1998,15.4,0.39,0,2.08,1.04,0.58,0.58,0.39,0.58
92,Trevoh Chalobah,eng ENG,DF,Chelsea,26,1999,30.9,0.1,0.03,0.65,0.58,0.06,0.16,1.2,0.71
93,Rayan Cherki,fr FRA,MF,Manchester City,21,2003,19.8,0.05,0,0.91,1.72,0.05,4.04,0.35,0.81
94,Federico Chiesa,it ITA,MF,Liverpool,27,1997,3.8,0.79,0,2.89,1.84,0.53,4.47,1.05,1.32
95,Tawanda Chirewa,zw ZIM,MF,Wolves,21,2003,0.3,0,0,10,3.33,0,0,0,0
96,Ryan Christie,sct SCO,MF,Bournemouth,30,1995,11,0.27,0.09,1.45,2,0.09,1.55,1,1.82
97,Samuel Chukwueze,ng NGA,MF,Fulham,26,1999,12,0,0,0.42,1,0.25,3.58,0.5,0.33
98,Dennis Cirkin,lv LVA,DF,Sunderland,23,2002,3.6,0.56,0,1.11,0.56,0,0.83,1.39,1.39
99,Nathaniel Clyne,eng ENG,MFDF,Crystal Palace,34,1991,6.6,0.15,0,0.61,0.3,0,2.27,1.06,1.36
100,Seamus Coleman,ie IRL,DF,Everton,36,1988,0.2,0,0,0,5,0,15,0,0
101,Nathan Collins,ie IRL,DF,Brentford,24,2001,33.1,0.21,0,0.6,0.51,0.06,0.03,1.09,0.39
102,Levi Colwill,eng ENG,DF,Chelsea,22,2003,2.5,0,0,0.4,0.8,0,0.4,2,0.8
103,Lewis Cook,eng ENG,MFDF,Bournemouth,28,1997,9.7,0.1,0.1,0.82,0.52,0,4.54,2.16,1.75
104,Diego Coppola,it ITA,DF,Brighton,21,2003,2.2,0.91,0,1.82,0,0,0,0.45,0.91
105,Marc Cucurella,es ESP,DF,Chelsea,27,1998,30.1,0.27,0.03,1.5,0.96,0.17,1.36,0.93,1.33
106,Jorge Cuenca,es ESP,DF,Fulham,25,1999,10.4,0.58,0,0.96,0.1,0.1,0.19,1.44,0.96
107,Josh Cullen,ie IRL,MF,Burnley,29,1996,16.8,0.12,0,0.95,1.07,0,0.71,1.43,1.13
108,Jair Cunha,br BRA,DF,Nottingham,20,2005,5.7,0,0,0,1.05,0,0.35,0.88,0.88
109,Matheus Cunha,br BRA,MFFW,Manchester Utd,26,1999,27.7,0.14,0,1.01,1.95,0.07,1.77,0.76,0.83
110,Diogo Dalot,pt POR,DFMF,Manchester Utd,26,1999,29,0.17,0,0.86,0.48,0.14,1.97,0.9,1.03
111,Mikkel Damsgaard,dk DEN,MF,Brentford,25,2000,22.8,0,0,0.79,1.01,0.18,4.17,1.05,1.49
112,Kevin Danso,at AUT,DF,Tottenham,26,1998,16.6,0.48,0,1.27,0.78,0,0.42,1.51,0.78
113,Karl Darlow,wls WAL,GK,Leeds United,34,1990,22,0.05,0,0,0.32,0,0,0,0
114,Josh Dasilva,eng ENG,MF,Brentford,26,1998,0,0,0,0,0,0,0,0,0
115,Ben Davies,wls WAL,DF,Tottenham,32,1993,1.5,0.67,0,1.33,0,0,2,0.67,2.67
116,Maxim De Cuyper,be BEL,DFMF,Brighton,24,2000,15.7,0.13,0,1.15,1.34,0.06,4.9,0.7,0.64
117,Liam Delap,eng ENG,FW,Chelsea,22,2003,12.3,0.33,0,2.03,1.54,0.41,0.49,0.08,0.24
118,Sepp van den Berg,nl NED,DF,Brentford,23,2001,30.7,0.07,0,0.49,0.36,0,0,0.85,0.29
119,Jesse Derry,eng ENG,MF,Chelsea,18,2007,0.5,0,0,0,2,0,4,0,2
120,Justin Devenny,nir NIR,MFFW,Crystal Palace,21,2003,8.8,0,0,1.25,1.14,0.11,1.93,0.11,1.25
121,Kiernan Dewsbury-Hall,eng ENG,MF,Everton,26,1998,29.2,0.21,0,1.1,1.64,0.07,3.84,0.48,0.89
122,Bafode Diakite,fr FRA,DF,Bournemouth,24,2001,14.2,0.07,0,0.56,0.28,0.14,0.07,0.7,1.06
123,Amad Diallo,ci CIV,MF,Manchester Utd,23,2002,26,0.08,0,0.92,1.46,0.46,1.77,0.58,0.88
124,Habib Diarra,sn SEN,MF,Sunderland,21,2004,15.6,0.38,0,1.22,1.73,0.19,2.05,0.26,0.45
125,Ruben Dias,pt POR,DF,Manchester City,28,1997,23.8,0.13,0,0.63,0.38,0,0.38,0.97,0.25
