Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY/90,CrdR/90,Fls/90,Fld/90,Off/90,Crs/90,Int/90,TklW/90
450,Oliver Scarles,eng ENG,DFMF,West Ham,19,2005,7.3,0.27,0,0.96,0.96,0.14,4.79,1.78,2.6
451,Dane Scarlett,eng ENG,FW,Tottenham,21,2004,0.1,0,0,10,0,0,0,0,0
452,Kevin Schade,de GER,MFFW,Brentford,23,2001,30.5,0.2,0.03,1.64,1.41,0.33,0.75,0.62,0.89
453,Fabian Schar,ch SUI,DF,Newcastle,33,1991,12.1,0.08,0,1.24,0.58,0.08,0.33,1.32,0.74
454,Alex Scott,eng ENG,MF,Bournemouth,21,2003,31.7,0.16,0,1.42,1.89,0.03,2.78,1.1,1.2
455,Jenson Seelt,nl NED,DF,Sunderland,22,2003,1.5,0,0,0.67,0.67,0,0.67,0,0
456,Matz Sels,be BEL,GK,Nottingham,33,1992,29.6,0.07,0,0,0.14,0,0,0,0.03
457,Antoine Semenyo,gh GHA,MFFW,Manchester City,25,2000,15.5,0.06,0,1.1,0.45,0.45,1.35,0.39,0.71
458,Antoine Semenyo,gh GHA,MF,Bournemouth,25,2000,20,0.3,0,1.85,0.7,0.6,1.4,0.3,1
459,Marcos Senesi,ar ARG,DF,Bournemouth,28,1997,36.5,0.22,0,0.96,1.01,0.03,0.77,1.37,0.93
460,Benjamin Sesko,si SVN,FW,Manchester Utd,22,2003,18.3,0.11,0,0.93,0.33,0.38,0.11,0.16,0.16
461,Ryan Sessegnon,eng ENG,DFMF,Fulham,25,2000,20.3,0,0,1.63,0.15,0.2,2.71,1.13,1.43
462,Luke Shaw,eng ENG,DF,Manchester Utd,30,1995,35.8,0.25,0,1.34,0.56,0,1.51,1.2,1.26
463,Bernardo Silva,pt POR,MF,Manchester City,30,1994,31.9,0.31,0,1.13,0.69,0.16,2.26,0.66,0.88
464,Jota Silva,pt POR,FW,Nottingham,25,1999,0.1,0,0,0,10,0,10,0,10
465,Xavi Simons,nl NED,MFFW,Tottenham,22,2003,19.5,0.26,0.05,1.08,2.26,0,2.62,0.77,1.03
466,Adam Smith,eng ENG,DF,Bournemouth,34,1991,12,0.25,0,1.58,0.92,0,1.08,0.83,1
467,Emile Smith Rowe,eng ENG,MF,Fulham,25,2000,21.4,0.05,0,0.47,0.79,0.14,0.61,1.03,1.03
468,Dominic Solanke,eng ENG,FW,Tottenham,27,1997,11.1,0.09,0,1.08,0.81,0.27,0.18,0.27,1.44
469,Julio Soler,ar ARG,DF,Bournemouth,20,2005,0.4,0,0,5,5,0,5,0,0
470,Oliver Sonne,pe PER,DF,Burnley,24,2000,1.9,0,0,2.11,0,0,2.63,0.53,0.53
471,Borna Sosa,hr CRO,DFMF,Crystal Palace,27,1998,1.1,0.91,0,3.64,0,0,5.45,1.82,0
472,Tomas Soucek,cz CZE,MF,West Ham,30,1995,24.4,0.12,0.04,1.52,0.9,0.2,0.57,0.66,0.94
473,Souza,br BRA,MF,Tottenham,19,2006,1.6,0.63,0,1.88,1.25,0,1.88,1.25,0
474,Djed Spence,eng ENG,DFMF,Tottenham,24,2000,22.8,0.18,0,1.23,0.92,0.18,2.15,0.66,1.1
475,Anton Stach,de GER,MF,Leeds United,26,1998,26.3,0.11,0,1.37,0.91,0,5.89,0.72,1.33
476,John Stones,eng ENG,DF,Manchester City,31,1994,4.9,0,0,0,0,0,0.82,0.61,0.2
477,Jorgen Strand Larsen,no NOR,FW,Wolves,25,2000,15.6,0.13,0,1.92,0.71,0.58,0.19,0.19,0.13
478,Jorgen Strand Larsen,no NOR,FW,Crystal Palace,25,2000,10,0.2,0,2.1,1,0.1,0,0.1,0
479,Pascal Struijk,nl NED,DF,Leeds United,25,1999,32.6,0.15,0,0.83,0.67,0.15,0.06,0.98,0.67
480,Crysencio Summerville,nl NED,MFFW,West Ham,23,2001,27.4,0.22,0,1.79,2.45,0.22,2.15,0.55,0.95
481,Dominik Szoboszlai,hu HUN,MFDF,Liverpool,24,2000,35.9,0.22,0.03,1.17,0.84,0.06,5.74,0.81,0.89
482,Jocelin Ta Bi,ci CIV,MF,Sunderland,20,2005,0.4,0,0,0,2.5,0,12.5,0,0
483,Chemsdine Talbi,ma MAR,MFFW,Sunderland,20,2005,17.3,0,0,0.29,0.06,0.12,2.89,0.17,0.35
484,Ao Tanaka,jp JPN,MF,Leeds United,26,1998,14.6,0.07,0,0.89,0.68,0,2.67,1.44,1.03
485,James Tarkowski,eng ENG,DF,Everton,32,1992,37,0.22,0,0.86,0.95,0.05,0.19,0.78,0.81
486,Marcus Tavernier,eng ENG,MF,Bournemouth,26,1999,30.3,0.2,0,1.02,1.16,0.13,3.76,0.53,0.69
487,Loum Tchaouna,fr FRA,MFFW,Burnley,21,2003,14.1,0.14,0,0.85,1.13,0.07,2.41,0.14,0.64
488,Jackson Tchatchoua,cm CMR,MFDF,Wolves,23,2001,20.5,0.15,0,0.39,0.44,0.1,4.39,0.68,0.73
489,Mathys Tel,fr FRA,MFFW,Tottenham,20,2005,15,0.07,0,1.27,1.53,0.2,6.13,0.33,0.8
490,Kenny Tete,nl NED,DF,Fulham,29,1995,19.9,0.1,0,1.36,1.56,0.05,1.71,1.31,1.91
491,Igor Thiago,br BRA,FW,Brentford,24,2001,36.5,0.19,0,2.03,0.71,0.66,0.52,0.33,0.58
492,Malick Thiaw,de GER,DF,Newcastle,23,2001,32.9,0.12,0,0.73,0.33,0.06,0.27,0.91,1.03
493,Youri Tielemans,be BEL,MF,Aston Villa,28,1997,20.7,0,0,1.21,1.93,0.05,2.17,0.77,1.88
494,Jurrien Timber,nl NED,DF,Arsenal,24,2001,27.3,0.18,0,1.39,1.06,0,1.68,0.88,1.28
495,Jean-Clair Todibo,fr FRA,DF,West Ham,25,1999,20.2,0.25,0.05,0.45,0.15,0.05,0.1,0.79,1.19
496,Sandro Tonali,it ITA,MF,Newcastle,25,2000,28.2,0.14,0,0.85,1.49,0.04,3.37,0.99,0.89
497,Pau Torres,es ESP,DF,Aston Villa,28,1997,18.6,0.05,0,0.38,0.27,0,0.22,0.59,0.75
498,Alex Toth,hu HUN,MF,Bournemouth,19,2005,1.6,0.63,0,0.63,1.25,0,1.88,1.88,0
499,James Trafford,eng ENG,GK,Manchester City,22,2002,4,0,0,0,0.25,0,0,0,0.25
500,Adama Traore,es ESP,MF,Fulham,29,1996,3,0,0,2,2.67,1,5,0,0.33
501,Adama Traore,es ESP,FWMF,West Ham,29,1996,1.3,0.77,0,0.77,0,1.54,9.23,0,0.77
502,Bertrand Traore,bf BFA,MFFW,Sunderland,29,1995,7,0.14,0,1.57,1.71,0.14,1.86,0.29,0.57
503,Mike Tresor,be BEL,FWMF,Burnley,26,1999,0.5,0,0,0,0,0,6,0,2
504,Kieran Trippier,eng ENG,DF,Newcastle,34,1990,17.6,0.17,0,1.25,1.08,0.06,5.45,0.4,0.74
505,Leandro Trossard,be BEL,FWMF,Arsenal,30,1994,22.2,0.09,0,0.59,1.76,0.23,2.61,0.41,0.68
506,Adrien Truffert,fr FRA,DF,Bournemouth,23,2001,37.5,0.13,0,1.04,0.85,0,3.79,1.15,1.36
507,Axel Tuanzebe,cd COD,DF,Burnley,27,1997,13.3,0.08,0,0.98,0.15,0.08,0.08,0.9,0.6
508,Stefanos Tzimas,gr GRE,FW,Brighton,19,2006,1.5,0,0,2.67,0.67,0.67,0.67,0,0.67
509,Christantus Uche,ng NGA,FW,Crystal Palace,22,2003,1.9,0,0,2.11,3.68,1.58,3.16,0,0.53
510,Destiny Udogie,it ITA,DFMF,Tottenham,22,2002,14.9,0.27,0,1.14,1.48,0.2,1.81,0.47,1.34
511,Manuel Ugarte,uy URU,MF,Manchester Utd,24,2001,9.9,0.1,0,2.42,1.52,0,0.1,2.02,3.03
512,Lesley Ugochukwu,fr FRA,MF,Burnley,21,2004,26,0.12,0.04,1.08,1.15,0.04,0.27,0.65,1
513,Enes Unal,tr TUR,FW,Bournemouth,28,1997,2.6,0.38,0,2.31,3.85,1.15,0.77,0,0.38
514,Hakon Valdimarsson,is ISL,GK,Brentford,23,2001,1,0,0,0,0,0,0,0,0
515,Virgil van Dijk,nl NED,DF,Liverpool,34,1991,38,0.11,0,0.5,0.47,0.03,0.03,0.68,0.39
516,Joel Veltman,nl NED,DF,Brighton,33,1992,11.8,0.42,0,0.85,1.86,0.17,1.53,1.61,1.44
517,Micky van de Ven,nl NED,DF,Tottenham,24,2001,33.8,0.27,0.03,0.83,0.65,0.06,0.09,0.62,0.59
518,Bart Verbruggen,nl NED,GK,Brighton,22,2002,38,0.08,0,0.05,0.05,0,0,0,0.03
519,Guglielmo Vicario,it ITA,GK,Tottenham,28,1996,31,0.03,0,0,0.1,0,0,0,0.03
520,Kyle Walker,eng ENG,DFMF,Burnley,35,1990,34.4,0.26,0,0.93,0.64,0.03,1.08,1.25,0.93
521,Kyle Walker-Peters,eng ENG,DF,West Ham,28,1997,15.4,0.13,0,0.78,1.62,0.06,1.3,0.58,1.95
522,Aaron Wan-Bissaka,cd COD,DFMF,West Ham,27,1997,23.1,0.17,0,1,0.52,0.04,1.86,1.77,1.04
523,James Ward-Prowse,eng ENG,MF,West Ham,30,1994,4.6,0,0,0.87,0.43,0,4.78,1.3,0.43
524,James Ward-Prowse,eng ENG,MF,Burnley,30,1994,7.6,0.13,0,0.53,1.45,0,6.84,1.97,0.53
525,Ollie Watkins,eng ENG,FW,Aston Villa,29,1995,31.5,0.13,0,1.11,1.02,0.79,0.22,0.16,0.44
526,Tom Watson,eng ENG,MF,Brighton,19,2006,0.7,1.43,0,4.29,0,0,0,0,1.43
527,Max Weiss,de GER,GK,Burnley,21,2004,3,0,0,0,0,0,0,0,0
528,Danny Welbeck,eng ENG,FW,Brighton,34,1990,25.1,0.2,0,1.24,0.4,0.2,0.12,0.32,0.56
529,Adam Wharton,eng ENG,MF,Crystal Palace,21,2004,28.4,0.21,0.04,1.23,1.09,0,3.03,0.95,1.27
530,Ben White,eng ENG,DF,Arsenal,27,1997,7.8,0,0,0.64,0.77,0.38,2.05,1.15,1.15
531,Mats Wieffer,nl NED,DF,Brighton,25,1999,21.1,0.38,0,1.42,1.04,0.09,0.81,1.14,2.04
532,Neco Williams,wls WAL,DF,Nottingham,24,2001,35.6,0.17,0.03,0.81,1.46,0.11,4.02,1.29,1.71
533,Estevao Willian,br BRA,MF,Chelsea,18,2007,9.4,0.43,0,1.28,0.96,0.64,1.7,0.43,0.64
534,Joe Willock,eng ENG,MF,Newcastle,25,1999,10.9,0.28,0,1.47,1.01,0.18,1.47,0.64,1.38
535,Callum Wilson,eng ENG,FW,West Ham,33,1992,13.9,0.07,0,0.86,1.01,0.65,0.36,0.22,0.14
536,Harry Wilson,wls WAL,MF,Fulham,28,1997,29.7,0.24,0,0.44,1.25,0.44,3.87,0.54,0.64
537,Ben Winterburn,eng ENG,MF,Bournemouth,20,2004,0.1,0,0,0,0,0,0,0,0
538,Florian Wirtz,de GER,MF,Liverpool,22,2003,26.4,0.04,0,0.83,0.72,0.08,1.21,0.45,0.98
539,Yoane Wissa,cd COD,FW,Newcastle,28,1996,5.9,0.51,0,1.02,0.34,0.68,0.17,0,0.85
540,Nick Woltemade,de GER,FWMF,Newcastle,23,2002,21.1,0,0,0.95,0.95,0.38,0.14,0.24,0.62
541,Chris Wood,nz NZL,FW,Nottingham,33,1991,10,0,0,0.6,0.6,0.4,0.1,0.1,0.1
542,Freddie Woodman,eng ENG,GK,Liverpool,28,1997,2.4,0,0,0,0,0,0,0,0
543,Joe Worrall,eng ENG,DF,Burnley,28,1997,5.6,0,0,0.71,0.18,0,0,1.07,0.36
544,Granit Xhaka,ch SUI,MF,Sunderland,32,1992,32.3,0.25,0,0.71,1.24,0,3.07,0.9,1.02
545,Yehor Yarmoliuk,ua UKR,MF,Brentford,21,2004,29.5,0.24,0,1.25,0.41,0.03,1.02,0.95,1.56
546,Ryan Yates,eng ENG,MF,Nottingham,27,1997,6.9,0.43,0,1.88,1.88,0,0.72,1.3,1.45
547,Leny Yoro,fr FRA,DF,Manchester Utd,19,2005,19.3,0.05,0,0.88,0.26,0.1,0.16,1.61,1.04
548,Oleksandr Zinchenko,ua UKR,DF,Nottingham,28,1996,3.9,0,0,0.26,0.51,0.26,4.62,0.51,1.54
549,Joshua Zirkzee,nl NED,FWMF,Manchester Utd,24,2001,7,0.43,0,1.14,0.86,0.14,0.71,0.14,0.86
550,Martin Zubimendi,es ESP,MF,Arsenal,26,1999,33.2,0.12,0,0.99,0.45,0.03,0.39,1.17,1.17
551,Martin Odegaard,no NOR,MF,Arsenal,26,1998,15.2,0,0,0.59,0.59,0.13,1.45,0.46,0.59
