Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt
125,Ruben Dias,pt POR,DF,Manchester City,28,1997,23.8,2,10,4,40,0.42,0.17,0.2,0.5,0,0
126,Tyler Dibling,eng ENG,MF,Everton,19,2006,4,0,4,0,0,1.01,0,0,,0,0
127,Lucas Digne,fr FRA,DF,Aston Villa,32,1993,20.6,0,14,5,35.7,0.68,0.24,0,0,0,0
128,Issa Diop,ma MAR,DF,Fulham,28,1997,9.1,1,2,1,50,0.22,0.11,0.5,1,0,0
129,El Hadji Malick Diouf,sn SEN,DFMF,West Ham,20,2004,30.1,0,18,4,22.2,0.6,0.13,0,0,0,0
130,Axel Disasi,fr FRA,DF,West Ham,27,1998,13.9,0,5,3,60,0.36,0.22,0,0,0,0
131,Matt Doherty,ie IRL,DFMF,Wolves,33,1992,8.7,0,3,0,0,0.34,0,0,,0,0
132,Jeremy Doku,be BEL,MFFW,Manchester City,23,2002,19.8,5,39,15,38.5,1.97,0.76,0.13,0.33,0,0
133,Nicolas Dominguez,ar ARG,MF,Nottingham,27,1998,13.1,1,18,5,27.8,1.38,0.38,0.06,0.2,0,0
134,Gianluigi Donnarumma,it ITA,GK,Manchester City,26,1999,34,0,0,0,,0,0,,,0,0
135,Romelle Donovan,eng ENG,FW,Brentford,18,2006,0.5,0,3,1,33.3,6.59,2.2,0,0,0,0
136,Patrick Dorgu,dk DEN,MF,Manchester Utd,20,2004,16.1,4,25,11,44,1.55,0.68,0.16,0.36,0,0
137,Max Dowman,eng ENG,MF,Arsenal,15,2009,1.7,1,6,1,16.7,3.44,0.57,0.17,1,0,0
138,Radu Dragusin,ro ROU,DF,Tottenham,23,2002,5.7,0,4,0,0,0.7,0,0,,0,0
139,Joel Drakes-Thomas,eng ENG,MF,Crystal Palace,16,2009,0.1,0,0,0,,0,0,,,0,0
140,Martin Dubravka,sk SVK,GK,Burnley,36,1989,35,0,0,0,,0,0,,,0,0
141,Lewis Dunk,eng ENG,DF,Brighton,33,1991,31.5,1,23,3,13,0.73,0.1,0.04,0.33,0,0
142,George Earthy,eng ENG,MF,West Ham,20,2004,0.1,0,0,0,,0,0,,,0,0
143,Odsonne Edouard,fr FRA,FW,Crystal Palace,27,1998,0,0,0,0,,0,0,,,0,0
144,Tom Edozie,eng ENG,MF,Wolves,19,2006,0.2,1,2,1,50,12.86,6.43,0.5,1,0,0
145,Marcus Edwards,eng ENG,MFFW,Burnley,26,1998,11.9,1,23,6,26.1,1.94,0.51,0.04,0.17,0,0
146,Hjalmar Ekdal,se SWE,DF,Burnley,26,1998,17.1,0,6,1,16.7,0.35,0.06,0,0,0,0
147,Hugo Ekitike,fr FRA,FW,Liverpool,23,2002,20,11,65,19,29.2,3.24,0.95,0.17,0.58,0,0
148,Anthony Elanga,se SWE,FWMF,Newcastle,23,2002,14.7,0,17,4,23.5,1.16,0.27,0,0,0,0
149,Melker Ellborg,se SWE,GK,Sunderland,22,2003,3,0,0,0,,0,0,,,0,0
150,Harvey Elliott,eng ENG,MF,Aston Villa,22,2003,1.2,0,5,0,0,4.02,0,0,,0,0
151,Harvey Elliott,eng ENG,FWMF,Liverpool,22,2003,0,0,0,0,,0,0,,,0,0
152,Wataru Endo,jp JPN,DF,Liverpool,32,1993,1.9,0,1,0,0,0.51,0,0,,0,0
153,Romain Esse,eng ENG,MF,Crystal Palace,20,2005,0.5,0,0,0,,0,0,,,0,0
154,Dario Essugo,pt POR,MF,Chelsea,20,2005,0.3,0,0,0,,0,0,,,0,0
155,Maxime Esteve,fr FRA,DF,Burnley,23,2002,32.6,0,10,1,10,0.31,0.03,0,0,0,0
156,Evanilson,br BRA,FW,Bournemouth,25,1999,30.5,6,72,23,31.9,2.36,0.75,0.08,0.26,0,0
157,Eberechi Eze,eng ENG,MF,Crystal Palace,27,1998,0.9,0,6,2,33.3,6.51,2.17,0,0,0,0
158,Eberechi Eze,eng ENG,MFFW,Arsenal,27,1998,20.1,7,57,18,31.6,2.83,0.89,0.12,0.39,0,0
159,Bruno Fernandes,pt POR,MF,Manchester Utd,30,1994,34,9,85,24,28.2,2.5,0.71,0.11,0.38,4,6
160,Mateus Fernandes,pt POR,MF,West Ham,21,2004,33.5,3,28,8,28.6,0.84,0.24,0.11,0.38,0,0
161,Enzo Fernendez,ar ARG,MF,Chelsea,24,2001,34.6,10,72,31,43.1,2.08,0.9,0.14,0.32,2,2
