Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt
456,Matz Sels,be BEL,GK,Nottingham,33,1992,29.6,0,0,0,,0,0,,,0,0
457,Antoine Semenyo,gh GHA,MFFW,Manchester City,25,2000,15.5,7,34,14,41.2,2.19,0.9,0.21,0.5,0,0
458,Antoine Semenyo,gh GHA,MF,Bournemouth,25,2000,20,10,49,27,55.1,2.45,1.35,0.2,0.37,1,2
459,Marcos Senesi,ar ARG,DF,Bournemouth,28,1997,36.5,0,17,5,29.4,0.47,0.14,0,0,0,0
460,Benjamin Sesko,si SVN,FW,Manchester Utd,22,2003,18.3,11,61,34,55.7,3.34,1.86,0.18,0.32,0,0
461,Ryan Sessegnon,eng ENG,DFMF,Fulham,25,2000,20.3,3,16,4,25,0.79,0.2,0.19,0.75,0,0
462,Luke Shaw,eng ENG,DF,Manchester Utd,30,1995,35.8,1,10,3,30,0.28,0.08,0.1,0.33,0,0
463,Bernardo Silva,pt POR,MF,Manchester City,30,1994,31.9,2,30,7,23.3,0.94,0.22,0.07,0.29,0,0
464,Jota Silva,pt POR,FW,Nottingham,25,1999,0.1,0,0,0,,0,0,,,0,0
465,Xavi Simons,nl NED,MFFW,Tottenham,22,2003,19.5,2,42,10,23.8,2.15,0.51,0.05,0.2,0,0
466,Adam Smith,eng ENG,DF,Bournemouth,34,1991,12,0,0,0,,0,0,,,0,0
467,Emile Smith Rowe,eng ENG,MF,Fulham,25,2000,21.4,3,36,11,30.6,1.68,0.51,0.08,0.27,0,0
468,Dominic Solanke,eng ENG,FW,Tottenham,27,1997,11.1,3,20,11,55,1.8,0.99,0.15,0.27,0,0
469,Julio Soler,ar ARG,DF,Bournemouth,20,2005,0.4,0,0,0,,0,0,,,0,0
470,Oliver Sonne,pe PER,DF,Burnley,24,2000,1.9,1,3,1,33.3,1.6,0.53,0.33,1,0,0
471,Borna Sosa,hr CRO,DFMF,Crystal Palace,27,1998,1.1,0,1,0,0,0.89,0,0,,0,0
472,Tomas Soucek,cz CZE,MF,West Ham,30,1995,24.4,5,26,14,53.8,1.06,0.57,0.19,0.36,0,0
473,Souza,br BRA,MF,Tottenham,19,2006,1.6,0,1,1,100,0.62,0.62,0,0,0,0
474,Djed Spence,eng ENG,DFMF,Tottenham,24,2000,22.8,0,13,8,61.5,0.57,0.35,0,0,0,0
475,Anton Stach,de GER,MF,Leeds United,26,1998,26.3,5,55,14,25.5,2.09,0.53,0.09,0.36,0,0
476,John Stones,eng ENG,DF,Manchester City,31,1994,4.9,0,0,0,,0,0,,,0,0
477,Jorgen Strand Larsen,no NOR,FW,Wolves,25,2000,15.6,1,21,7,33.3,1.35,0.45,0.05,0.14,1,2
478,Jorgen Strand Larsen,no NOR,FW,Crystal Palace,25,2000,10,3,23,7,30.4,2.29,0.7,0.13,0.43,0,0
479,Pascal Struijk,nl NED,DF,Leeds United,25,1999,32.6,0,31,5,16.1,0.95,0.15,0,0,0,0
480,Crysencio Summerville,nl NED,MFFW,West Ham,23,2001,27.4,5,54,15,27.8,1.97,0.55,0.09,0.33,0,0
481,Dominik Szoboszlai,hu HUN,MFDF,Liverpool,24,2000,35.9,6,71,23,32.4,1.98,0.64,0.08,0.26,0,1
482,Jocelin Ta Bi,ci CIV,MF,Sunderland,20,2005,0.4,0,0,0,,0,0,,,0,0
483,Chemsdine Talbi,ma MAR,MFFW,Sunderland,20,2005,17.3,4,25,10,40,1.44,0.58,0.16,0.4,0,0
484,Ao Tanaka,jp JPN,MF,Leeds United,26,1998,14.6,2,17,5,29.4,1.16,0.34,0.12,0.4,0,0
485,James Tarkowski,eng ENG,DF,Everton,32,1992,37,2,20,10,50,0.54,0.27,0.1,0.2,0,0
486,Marcus Tavernier,eng ENG,MF,Bournemouth,26,1999,30.3,7,70,24,34.3,2.31,0.79,0.1,0.29,2,2
487,Loum Tchaouna,fr FRA,MFFW,Burnley,21,2003,14.1,2,23,9,39.1,1.63,0.64,0.09,0.22,0,0
488,Jackson Tchatchoua,cm CMR,MFDF,Wolves,23,2001,20.5,0,3,1,33.3,0.15,0.05,0,0,0,0
489,Mathys Tel,fr FRA,MFFW,Tottenham,20,2005,15,4,35,8,22.9,2.34,0.53,0.11,0.5,0,0
490,Kenny Tete,nl NED,DF,Fulham,29,1995,19.9,1,16,3,18.8,0.8,0.15,0.06,0.33,0,0
491,Igor Thiago,br BRA,FW,Brentford,24,2001,36.5,22,84,43,51.2,2.3,1.18,0.26,0.51,8,9
492,Malick Thiaw,de GER,DF,Newcastle,23,2001,32.9,4,28,14,50,0.85,0.42,0.14,0.29,0,0
493,Youri Tielemans,be BEL,MF,Aston Villa,28,1997,20.7,0,24,7,29.2,1.16,0.34,0,0,0,0
494,Jurrien Timber,nl NED,DF,Arsenal,24,2001,27.3,3,25,7,28,0.92,0.26,0.12,0.43,0,0
495,Jean-Clair Todibo,fr FRA,DF,West Ham,25,1999,20.2,0,2,0,0,0.1,0,0,,0,0
496,Sandro Tonali,it ITA,MF,Newcastle,25,2000,28.2,0,37,8,21.6,1.31,0.28,0,0,0,0
497,Pau Torres,es ESP,DF,Aston Villa,28,1997,18.6,0,9,1,11.1,0.48,0.05,0,0,0,0
498,Alex Toth,hu HUN,MF,Bournemouth,19,2005,1.6,0,2,0,0,1.29,0,0,,0,0
499,James Trafford,eng ENG,GK,Manchester City,22,2002,4,0,0,0,,0,0,,,0,0
500,Adama Traore,es ESP,MF,Fulham,29,1996,3,0,5,1,20,1.64,0.33,0,0,0,0
501,Adama Traore,es ESP,FWMF,West Ham,29,1996,1.3,0,2,0,0,1.49,0,0,,0,0
502,Bertrand Traore,bf BFA,MFFW,Sunderland,29,1995,7,1,12,6,50,1.71,0.85,0.08,0.17,0,0
503,Mike Tresor,be BEL,FWMF,Burnley,26,1999,0.5,0,0,0,,0,0,,,0,0
504,Kieran Trippier,eng ENG,DF,Newcastle,34,1990,17.6,0,2,0,0,0.11,0,0,,0,0
505,Leandro Trossard,be BEL,FWMF,Arsenal,30,1994,22.2,6,53,15,28.3,2.39,0.68,0.11,0.4,0,0
506,Adrien Truffert,fr FRA,DF,Bournemouth,23,2001,37.5,1,16,6,37.5,0.43,0.16,0.06,0.17,0,0
507,Axel Tuanzebe,cd COD,DF,Burnley,27,1997,13.3,1,2,1,50,0.15,0.07,0.5,1,0,0
508,Stefanos Tzimas,gr GRE,FW,Brighton,19,2006,1.5,1,4,1,25,2.59,0.65,0.25,1,0,0
509,Christantus Uche,ng NGA,FW,Crystal Palace,22,2003,1.9,0,6,2,33.3,3.12,1.04,0,0,0,0
510,Destiny Udogie,it ITA,DFMF,Tottenham,22,2002,14.9,0,4,1,25,0.27,0.07,0,0,0,0
511,Manuel Ugarte,uy URU,MF,Manchester Utd,24,2001,9.9,0,13,1,7.7,1.32,0.1,0,0,0,0
512,Lesley Ugochukwu,fr FRA,MF,Burnley,21,2004,26,3,23,8,34.8,0.89,0.31,0.13,0.38,0,0
513,Enes Unal,tr TUR,FW,Bournemouth,28,1997,2.6,1,15,3,20,5.82,1.16,0.07,0.33,0,0
514,Hakon Valdimarsson,is ISL,GK,Brentford,23,2001,1,0,0,0,,0,0,,,0,0
515,Virgil van Dijk,nl NED,DF,Liverpool,34,1991,38,6,30,14,46.7,0.79,0.37,0.2,0.43,0,0
516,Joel Veltman,nl NED,DF,Brighton,33,1992,11.8,1,4,1,25,0.34,0.09,0.25,1,0,0
517,Micky van de Ven,nl NED,DF,Tottenham,24,2001,33.8,4,16,6,37.5,0.47,0.18,0.25,0.67,0,0
518,Bart Verbruggen,nl NED,GK,Brighton,22,2002,38,0,0,0,,0,0,,,0,0
519,Guglielmo Vicario,it ITA,GK,Tottenham,28,1996,31,0,0,0,,0,0,,,0,0
520,Kyle Walker,eng ENG,DFMF,Burnley,35,1990,34.4,0,4,0,0,0.12,0,0,,0,0
521,Kyle Walker-Peters,eng ENG,DF,West Ham,28,1997,15.4,1,5,3,60,0.33,0.2,0.2,0.33,0,0
522,Aaron Wan-Bissaka,cd COD,DFMF,West Ham,27,1997,23.1,0,0,0,,0,0,,,0,0
523,James Ward-Prowse,eng ENG,MF,West Ham,30,1994,4.6,0,2,0,0,0.44,0,0,,0,0
524,James Ward-Prowse,eng ENG,MF,Burnley,30,1994,7.6,0,3,2,66.7,0.39,0.26,0,0,0,0
525,Ollie Watkins,eng ENG,FW,Aston Villa,29,1995,31.5,16,83,38,45.8,2.63,1.2,0.19,0.42,0,0
526,Tom Watson,eng ENG,MF,Brighton,19,2006,0.7,0,1,1,100,1.45,1.45,0,0,0,0
527,Max Weiss,de GER,GK,Burnley,21,2004,3,0,0,0,,0,0,,,0,0
528,Danny Welbeck,eng ENG,FW,Brighton,34,1990,25.1,13,56,28,50,2.23,1.12,0.23,0.46,1,3
529,Adam Wharton,eng ENG,MF,Crystal Palace,21,2004,28.4,1,32,6,18.8,1.13,0.21,0.03,0.17,0,0
530,Ben White,eng ENG,DF,Arsenal,27,1997,7.8,0,5,1,20,0.64,0.13,0,0,0,0
531,Mats Wieffer,nl NED,DF,Brighton,25,1999,21.1,2,18,6,33.3,0.85,0.28,0.11,0.33,0,0
532,Neco Williams,wls WAL,DF,Nottingham,24,2001,35.6,2,46,19,41.3,1.29,0.53,0.04,0.11,0,0
533,Estevao Willian,br BRA,MF,Chelsea,18,2007,9.4,2,28,8,28.6,2.97,0.85,0.07,0.25,0,0
534,Joe Willock,eng ENG,MF,Newcastle,25,1999,10.9,0,17,6,35.3,1.56,0.55,0,0,0,0
535,Callum Wilson,eng ENG,FW,West Ham,33,1992,13.9,7,38,16,42.1,2.73,1.15,0.18,0.44,0,0
536,Harry Wilson,wls WAL,MF,Fulham,28,1997,29.7,10,78,25,32.1,2.63,0.84,0.13,0.4,0,0
537,Ben Winterburn,eng ENG,MF,Bournemouth,20,2004,0.1,0,0,0,,0,0,,,0,0
538,Florian Wirtz,de GER,MF,Liverpool,22,2003,26.4,5,51,18,35.3,1.93,0.68,0.1,0.28,0,0
539,Yoane Wissa,cd COD,FW,Newcastle,28,1996,5.9,1,13,5,38.5,2.2,0.85,0.08,0.2,0,0
540,Nick Woltemade,de GER,FWMF,Newcastle,23,2002,21.1,8,32,13,40.6,1.51,0.62,0.25,0.62,1,1
541,Chris Wood,nz NZL,FW,Nottingham,33,1991,10,3,23,9,39.1,2.3,0.9,0.13,0.33,0,0
542,Freddie Woodman,eng ENG,GK,Liverpool,28,1997,2.4,0,0,0,,0,0,,,0,0
543,Joe Worrall,eng ENG,DF,Burnley,28,1997,5.6,0,1,0,0,0.18,0,0,,0,0
544,Granit Xhaka,ch SUI,MF,Sunderland,32,1992,32.3,1,21,5,23.8,0.65,0.15,0.05,0.2,0,0
545,Yehor Yarmoliuk,ua UKR,MF,Brentford,21,2004,29.5,1,16,4,25,0.54,0.14,0.06,0.25,0,0
546,Ryan Yates,eng ENG,MF,Nottingham,27,1997,6.9,0,9,2,22.2,1.31,0.29,0,0,0,0
547,Leny Yoro,fr FRA,DF,Manchester Utd,19,2005,19.3,0,9,3,33.3,0.47,0.16,0,0,0,0
548,Oleksandr Zinchenko,ua UKR,DF,Nottingham,28,1996,3.9,0,4,2,50,1.02,0.51,0,0,0,0
549,Joshua Zirkzee,nl NED,FWMF,Manchester Utd,24,2001,7,2,25,9,36,3.59,1.29,0.08,0.22,0,0
550,Martin Zubimendi,es ESP,MF,Arsenal,26,1999,33.2,5,27,9,33.3,0.81,0.27,0.19,0.56,0,0
551,Martin Odegaard,no NOR,MF,Arsenal,26,1998,15.2,1,22,8,36.4,1.45,0.53,0.05,0.13,0,0
