Player,Squad,Pos,Min,90s,Gls90,Ast90,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,CrdY/90,CrdR/90,Fls/90,Fld/90,Off/90,Crs/90,Int/90,TklW/90,PrimaryPos
Pau Torres,Aston Villa,DF,1676,18.6,0.0,0.0,11.1,0.48,0.05,0.0,0.0,0.05,0.0,0.38,0.27,0.0,0.22,0.59,0.75,DF
Kieran Trippier,Newcastle,DF,1586,17.6,0.0,0.06,0.0,0.11,0.0,0.0,,0.17,0.0,1.25,1.08,0.06,5.45,0.4,0.74,DF
Leandro Trossard,Arsenal,FWMF,2000,22.2,0.27,0.27,28.3,2.39,0.68,0.11,0.4,0.09,0.0,0.59,1.76,0.23,2.61,0.41,0.68,FW
Adrien Truffert,Bournemouth,DF,3379,37.5,0.03,0.13,37.5,0.43,0.16,0.06,0.17,0.13,0.0,1.04,0.85,0.0,3.79,1.15,1.36,DF
Axel Tuanzebe,Burnley,DF,1201,13.3,0.07,0.0,50.0,0.15,0.07,0.5,1.0,0.08,0.0,0.98,0.15,0.08,0.08,0.9,0.6,DF
Destiny Udogie,Tottenham,DFMF,1338,14.9,0.0,0.07,25.0,0.27,0.07,0.0,0.0,0.27,0.0,1.14,1.48,0.2,1.81,0.47,1.34,DF
Lesley Ugochukwu,Burnley,MF,2336,26.0,0.12,0.04,34.8,0.89,0.31,0.13,0.38,0.12,0.04,1.08,1.15,0.04,0.27,0.65,1.0,MF
Virgil van Dijk,Liverpool,DF,3420,38.0,0.16,0.0,46.7,0.79,0.37,0.2,0.43,0.11,0.0,0.5,0.47,0.03,0.03,0.68,0.39,DF
Joel Veltman,Brighton,DF,1058,11.8,0.09,0.0,25.0,0.34,0.09,0.25,1.0,0.42,0.0,0.85,1.86,0.17,1.53,1.61,1.44,DF
Micky van de Ven,Tottenham,DF,3041,33.8,0.12,0.03,37.5,0.47,0.18,0.25,0.67,0.27,0.03,0.83,0.65,0.06,0.09,0.62,0.59,DF
Bart Verbruggen,Brighton,GK,3420,38.0,0.0,0.0,,0.0,0.0,,,0.08,0.0,0.05,0.05,0.0,0.0,0.0,0.03,GK
Guglielmo Vicario,Tottenham,GK,2790,31.0,0.0,0.0,,0.0,0.0,,,0.03,0.0,0.0,0.1,0.0,0.0,0.0,0.03,GK
Kyle Walker,Burnley,DFMF,3096,34.4,0.0,0.06,0.0,0.12,0.0,0.0,,0.26,0.0,0.93,0.64,0.03,1.08,1.25,0.93,DF
Kyle Walker-Peters,West Ham,DF,1383,15.4,0.07,0.0,60.0,0.33,0.2,0.2,0.33,0.13,0.0,0.78,1.62,0.06,1.3,0.58,1.95,DF
Aaron Wan-Bissaka,West Ham,DFMF,2081,23.1,0.0,0.09,,0.0,0.0,,,0.17,0.0,1.0,0.52,0.04,1.86,1.77,1.04,DF
Ollie Watkins,Aston Villa,FW,2839,31.5,0.51,0.1,45.8,2.63,1.2,0.19,0.42,0.13,0.0,1.11,1.02,0.79,0.22,0.16,0.44,FW
Danny Welbeck,Brighton,FW,2258,25.1,0.52,0.04,50.0,2.23,1.12,0.23,0.46,0.2,0.0,1.24,0.4,0.2,0.12,0.32,0.56,FW
Adam Wharton,Crystal Palace,MF,2552,28.4,0.04,0.18,18.8,1.13,0.21,0.03,0.17,0.21,0.04,1.23,1.09,0.0,3.03,0.95,1.27,MF
Mats Wieffer,Brighton,DF,1903,21.1,0.09,0.14,33.3,0.85,0.28,0.11,0.33,0.38,0.0,1.42,1.04,0.09,0.81,1.14,2.04,DF
Neco Williams,Nottingham,DF,3204,35.6,0.06,0.08,41.3,1.29,0.53,0.04,0.11,0.17,0.03,0.81,1.46,0.11,4.02,1.29,1.71,DF
Joe Willock,Newcastle,MF,983,10.9,0.0,0.18,35.3,1.56,0.55,0.0,0.0,0.28,0.0,1.47,1.01,0.18,1.47,0.64,1.38,MF
Callum Wilson,West Ham,FW,1251,13.9,0.5,0.07,42.1,2.73,1.15,0.18,0.44,0.07,0.0,0.86,1.01,0.65,0.36,0.22,0.14,FW
Harry Wilson,Fulham,MF,2673,29.7,0.34,0.24,32.1,2.63,0.84,0.13,0.4,0.24,0.0,0.44,1.25,0.44,3.87,0.54,0.64,MF
Florian Wirtz,Liverpool,MF,2378,26.4,0.19,0.11,35.3,1.93,0.68,0.1,0.28,0.04,0.0,0.83,0.72,0.08,1.21,0.45,0.98,MF
Nick Woltemade,Newcastle,FWMF,1902,21.1,0.38,0.14,40.6,1.51,0.62,0.25,0.62,0.0,0.0,0.95,0.95,0.38,0.14,0.24,0.62,FW
Chris Wood,Nottingham,FW,901,10.0,0.3,0.0,39.1,2.3,0.9,0.13,0.33,0.0,0.0,0.6,0.6,0.4,0.1,0.1,0.1,FW
Granit Xhaka,Sunderland,MF,2904,32.3,0.03,0.19,23.8,0.65,0.15,0.05,0.2,0.25,0.0,0.71,1.24,0.0,3.07,0.9,1.02,MF
Yehor Yarmoliuk,Brentford,MF,2659,29.5,0.03,0.07,25.0,0.54,0.14,0.06,0.25,0.24,0.0,1.25,0.41,0.03,1.02,0.95,1.56,MF
Leny Yoro,Manchester Utd,DF,1740,19.3,0.0,0.0,33.3,0.47,0.16,0.0,0.0,0.05,0.0,0.88,0.26,0.1,0.16,1.61,1.04,DF
Martin Zubimendi,Arsenal,MF,2992,33.2,0.15,0.03,33.3,0.81,0.27,0.19,0.56,0.12,0.0,0.99,0.45,0.03,0.39,1.17,1.17,MF
Martin Odegaard,Arsenal,MF,1369,15.2,0.07,0.39,36.4,1.45,0.53,0.05,0.13,0.0,0.0,0.59,0.59,0.13,1.45,0.46,0.59,MF
