Player,Squad,Pos,Min,90s,Gls90,Ast90,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,CrdY/90,CrdR/90,Fls/90,Fld/90,Off/90,Crs/90,Int/90,TklW/90,PrimaryPos
Valentin Castellanos,West Ham,FW,1384,15.4,0.39,0.0,44.0,3.25,1.43,0.12,0.27,0.39,0.0,2.08,1.04,0.58,0.58,0.39,0.58,FW
Trevoh Chalobah,Chelsea,DF,2783,30.9,0.1,0.0,31.3,0.52,0.16,0.19,0.6,0.1,0.03,0.65,0.58,0.06,0.16,1.2,0.71,DF
Rayan Cherki,Manchester City,MF,1786,19.8,0.2,0.6,23.6,2.77,0.66,0.07,0.31,0.05,0.0,0.91,1.72,0.05,4.04,0.35,0.81,MF
Ryan Christie,Bournemouth,MF,994,11.0,0.18,0.0,32.0,2.26,0.72,0.08,0.25,0.27,0.09,1.45,2.0,0.09,1.55,1.0,1.82,MF
Samuel Chukwueze,Fulham,MF,1079,12.0,0.25,0.33,28.0,2.09,0.58,0.12,0.43,0.0,0.0,0.42,1.0,0.25,3.58,0.5,0.33,MF
Nathan Collins,Brentford,DF,2975,33.1,0.03,0.06,30.0,0.61,0.18,0.05,0.17,0.21,0.0,0.6,0.51,0.06,0.03,1.09,0.39,DF
Marc Cucurella,Chelsea,DF,2707,30.1,0.03,0.13,30.0,0.66,0.2,0.05,0.17,0.27,0.03,1.5,0.96,0.17,1.36,0.93,1.33,DF
Jorge Cuenca,Fulham,DF,938,10.4,0.0,0.0,0.0,0.1,0.0,0.0,,0.58,0.0,0.96,0.1,0.1,0.19,1.44,0.96,DF
Josh Cullen,Burnley,MF,1514,16.8,0.12,0.12,54.5,0.65,0.36,0.18,0.33,0.12,0.0,0.95,1.07,0.0,0.71,1.43,1.13,MF
Matheus Cunha,Manchester Utd,MFFW,2494,27.7,0.36,0.07,38.9,3.25,1.26,0.11,0.29,0.14,0.0,1.01,1.95,0.07,1.77,0.76,0.83,MF
Diogo Dalot,Manchester Utd,DFMF,2614,29.0,0.03,0.1,25.0,0.83,0.21,0.04,0.17,0.17,0.0,0.86,0.48,0.14,1.97,0.9,1.03,DF
Mikkel Damsgaard,Brentford,MF,2054,22.8,0.18,0.18,37.9,1.27,0.48,0.14,0.36,0.0,0.0,0.79,1.01,0.18,4.17,1.05,1.49,MF
Kevin Danso,Tottenham,DF,1494,16.6,0.0,0.0,18.2,0.66,0.12,0.0,0.0,0.48,0.0,1.27,0.78,0.0,0.42,1.51,0.78,DF
Karl Darlow,Leeds United,GK,1980,22.0,0.0,0.0,,0.0,0.0,,,0.05,0.0,0.0,0.32,0.0,0.0,0.0,0.0,GK
Maxim De Cuyper,Brighton,DFMF,1414,15.7,0.13,0.19,46.2,0.83,0.38,0.15,0.33,0.13,0.0,1.15,1.34,0.06,4.9,0.7,0.64,DF
Liam Delap,Chelsea,FW,1107,12.3,0.08,0.0,30.6,2.93,0.89,0.03,0.09,0.33,0.0,2.03,1.54,0.41,0.49,0.08,0.24,FW
Sepp van den Berg,Brentford,DF,2763,30.7,0.0,0.07,30.4,0.75,0.23,0.0,0.0,0.07,0.0,0.49,0.36,0.0,0.0,0.85,0.29,DF
Kiernan Dewsbury-Hall,Everton,MF,2626,29.2,0.27,0.14,38.5,1.34,0.51,0.21,0.53,0.21,0.0,1.1,1.64,0.07,3.84,0.48,0.89,MF
Bafode Diakite,Bournemouth,DF,1277,14.2,0.0,0.0,0.0,0.07,0.0,0.0,,0.07,0.0,0.56,0.28,0.14,0.07,0.7,1.06,DF
Amad Diallo,Manchester Utd,MF,2341,26.0,0.08,0.12,43.4,2.04,0.88,0.04,0.09,0.08,0.0,0.92,1.46,0.46,1.77,0.58,0.88,MF
Habib Diarra,Sunderland,MF,1405,15.6,0.13,0.13,30.8,1.67,0.51,0.08,0.25,0.38,0.0,1.22,1.73,0.19,2.05,0.26,0.45,MF
Ruben Dias,Manchester City,DF,2141,23.8,0.08,0.0,40.0,0.42,0.17,0.2,0.5,0.13,0.0,0.63,0.38,0.0,0.38,0.97,0.25,DF
Lucas Digne,Aston Villa,DF,1852,20.6,0.0,0.29,35.7,0.68,0.24,0.0,0.0,0.15,0.0,0.68,0.58,0.15,5.24,0.63,1.26,DF
El Hadji Malick Diouf,West Ham,DFMF,2707,30.1,0.0,0.17,22.2,0.6,0.13,0.0,0.0,0.2,0.0,0.93,0.83,0.07,3.62,1.06,0.63,DF
Axel Disasi,West Ham,DF,1254,13.9,0.0,0.0,60.0,0.36,0.22,0.0,0.0,0.07,0.0,0.36,0.29,0.07,0.0,0.86,0.72,DF
Jeremy Doku,Manchester City,MFFW,1784,19.8,0.25,0.25,38.5,1.97,0.76,0.13,0.33,0.0,0.0,1.16,3.08,0.15,3.13,0.61,0.81,MF
Nicolas Dominguez,Nottingham,MF,1175,13.1,0.08,0.08,27.8,1.38,0.38,0.06,0.2,0.23,0.0,1.22,0.84,0.0,1.07,0.46,2.29,MF
Gianluigi Donnarumma,Manchester City,GK,3060,34.0,0.0,0.0,,0.0,0.0,,,0.24,0.0,0.0,0.12,0.0,0.0,0.03,0.0,GK
Patrick Dorgu,Manchester Utd,MF,1449,16.1,0.25,0.25,44.0,1.55,0.68,0.16,0.36,0.31,0.0,1.43,2.92,0.43,3.54,0.99,1.86,MF
Martin Dubravka,Burnley,GK,3150,35.0,0.0,0.0,,0.0,0.0,,,0.03,0.0,0.0,0.23,0.0,0.0,0.0,0.03,GK
Lewis Dunk,Brighton,DF,2838,31.5,0.03,0.0,13.0,0.73,0.1,0.04,0.33,0.32,0.0,0.44,0.38,0.03,0.16,0.95,0.7,DF
Marcus Edwards,Burnley,MFFW,1067,11.9,0.08,0.25,26.1,1.94,0.51,0.04,0.17,0.0,0.0,0.59,1.51,0.08,1.6,0.25,0.5,MF
Hjalmar Ekdal,Burnley,DF,1539,17.1,0.0,0.0,16.7,0.35,0.06,0.0,0.0,0.0,0.0,0.29,0.41,0.12,0.06,0.7,0.99,DF
Hugo Ekitike,Liverpool,FW,1803,20.0,0.55,0.2,29.2,3.24,0.95,0.17,0.58,0.0,0.0,1.75,0.6,0.5,0.35,0.2,0.35,FW
Anthony Elanga,Newcastle,FWMF,1319,14.7,0.0,0.07,23.5,1.16,0.27,0.0,0.0,0.0,0.0,0.54,1.7,0.14,5.65,0.2,0.75,FW
Maxime Esteve,Burnley,DF,2932,32.6,0.0,0.0,10.0,0.31,0.03,0.0,0.0,0.03,0.0,0.4,0.37,0.0,0.18,1.13,0.83,DF
Evanilson,Bournemouth,FW,2742,30.5,0.2,0.03,31.9,2.36,0.75,0.08,0.26,0.07,0.0,0.85,1.21,0.92,0.1,0.2,0.16,FW
Eberechi Eze,Arsenal,MFFW,1812,20.1,0.35,0.1,31.6,2.83,0.89,0.12,0.39,0.05,0.0,0.7,1.89,0.05,0.4,0.55,0.65,MF
Bruno Fernandes,Manchester Utd,MF,3063,34.0,0.26,0.62,28.2,2.5,0.71,0.11,0.38,0.15,0.0,0.71,1.03,0.12,5.32,0.62,1.03,MF
Mateus Fernandes,West Ham,MF,3016,33.5,0.09,0.12,28.6,0.84,0.24,0.11,0.38,0.21,0.0,1.46,1.46,0.0,1.52,1.07,2.0,MF
Enzo Fernendez,Chelsea,MF,3115,34.6,0.29,0.12,43.1,2.08,0.9,0.14,0.32,0.29,0.0,1.04,1.3,0.03,2.57,0.58,0.69,MF
Zian Flemming,Burnley,FW,1769,19.7,0.56,0.0,40.4,2.65,1.07,0.21,0.52,0.25,0.0,2.59,1.32,0.15,0.3,0.3,0.51,FW
Phil Foden,Manchester City,MF,2086,23.2,0.3,0.22,34.5,2.37,0.82,0.13,0.37,0.17,0.0,0.78,1.34,0.13,5.13,0.43,0.69,MF
Wesley Fofana,Chelsea,DF,1722,19.1,0.0,0.05,12.5,0.42,0.05,0.0,0.0,0.47,0.1,1.41,0.89,0.05,0.1,1.99,0.58,DF
Lyle Foster,Burnley,FWMF,1371,15.2,0.2,0.13,30.0,1.31,0.39,0.15,0.5,0.26,0.0,1.45,0.86,0.72,0.39,0.26,0.79,FW
Jeremie Frimpong,Liverpool,DFMF,1040,11.6,0.0,0.09,20.0,0.87,0.17,0.0,0.0,0.09,0.0,0.69,1.81,0.34,4.4,0.52,0.78,DF
Cody Gakpo,Liverpool,MFFW,2737,30.4,0.23,0.16,24.1,2.86,0.69,0.08,0.33,0.1,0.0,1.38,1.45,0.99,2.83,0.39,0.49,MF
Conor Gallagher,Tottenham,MF,1184,13.2,0.08,0.08,36.4,0.84,0.3,0.09,0.25,0.15,0.0,1.89,1.74,0.08,1.74,1.36,1.06,MF
Alejandro Garnacho,Chelsea,MF,1268,14.1,0.07,0.28,21.2,2.34,0.5,0.03,0.14,0.14,0.0,0.64,1.63,0.14,4.33,0.28,0.92,MF
James Garner,Everton,MFDF,3413,37.9,0.05,0.18,31.1,1.19,0.37,0.04,0.14,0.32,0.0,1.03,1.11,0.0,5.41,1.5,1.9,MF
Lutsharel Geertruida,Sunderland,DFMF,1693,18.8,0.0,0.0,27.3,0.58,0.16,0.0,0.0,0.11,0.0,0.8,0.37,0.05,0.48,1.06,1.17,DF
Morgan Gibbs-White,Nottingham,MF,3097,34.4,0.44,0.12,38.6,2.41,0.93,0.18,0.47,0.03,0.0,0.76,1.19,0.15,1.22,0.35,0.47,MF
Joao Gomes,Wolves,MF,2829,31.4,0.03,0.03,36.8,0.6,0.22,0.05,0.14,0.32,0.0,2.2,1.56,0.03,0.99,1.15,2.17,MF
Rodrigo Gomes,Wolves,MFFW,960,10.7,0.28,0.0,30.0,1.87,0.56,0.15,0.5,0.0,0.0,0.56,0.75,0.28,2.24,1.03,1.68,MF
Toti Gomes,Wolves,DF,1424,15.8,0.0,0.0,40.0,0.32,0.13,0.0,0.0,0.13,0.06,0.7,0.7,0.0,0.7,0.82,0.7,DF
Diego Gomez,Brighton,MFFW,2120,23.6,0.21,0.04,33.3,1.78,0.59,0.12,0.36,0.38,0.0,2.08,0.47,0.04,0.97,0.81,2.08,MF
Nicolas Gonzalez,Manchester City,MF,1569,17.4,0.06,0.0,14.3,0.8,0.11,0.07,0.5,0.34,0.0,1.72,1.03,0.0,0.17,1.38,1.72,MF
Anthony Gordon,Newcastle,FW,1795,19.9,0.3,0.1,41.7,2.41,1.0,0.13,0.3,0.15,0.05,0.65,2.01,0.25,3.47,0.15,0.65,FW
Ryan Gravenberch,Liverpool,MF,2992,33.2,0.15,0.09,34.2,1.14,0.39,0.13,0.38,0.15,0.0,1.14,1.27,0.0,0.24,1.33,1.05,MF
Archie Gray,Tottenham,MFDF,1478,16.4,0.12,0.12,45.5,0.67,0.3,0.18,0.4,0.3,0.0,0.73,0.12,0.0,0.73,1.04,0.49,MF
Jack Grealish,Everton,MF,1627,18.1,0.11,0.33,30.8,1.44,0.44,0.08,0.25,0.28,0.06,0.72,3.2,0.0,2.15,0.61,0.83,MF
Pascal Gross,Brighton,MF,1636,18.2,0.06,0.17,50.0,0.99,0.5,0.06,0.11,0.11,0.0,0.93,0.66,0.22,6.54,0.6,0.93,MF
Ilia Gruev,Leeds United,MF,1323,14.7,0.0,0.2,14.3,0.48,0.07,0.0,0.0,0.2,0.0,1.09,0.61,0.0,1.09,0.95,0.88,MF
Gabriel Gudmundsson,Leeds United,DFMF,2631,29.2,0.0,0.0,16.7,0.62,0.1,0.0,0.0,0.21,0.03,1.06,1.92,0.1,3.01,0.96,1.61,DF
Marc Guehi,Crystal Palace,DF,1800,20.0,0.1,0.1,26.7,0.75,0.2,0.13,0.5,0.2,0.0,0.7,0.9,0.0,0.5,1.2,0.95,DF
Marc Guehi,Manchester City,DF,1350,15.0,0.07,0.07,29.4,1.13,0.33,0.06,0.2,0.13,0.0,0.73,1.33,0.0,0.47,1.67,0.8,DF
Idrissa Gueye,Everton,MF,2093,23.3,0.09,0.13,24.1,1.25,0.3,0.07,0.29,0.04,0.04,0.9,1.33,0.0,0.82,1.24,0.9,MF
Bruno Guimaraes,Newcastle,MF,2453,27.3,0.33,0.18,54.8,1.54,0.84,0.21,0.39,0.22,0.0,1.65,2.75,0.07,3.0,0.59,1.5,MF
